,cif_id,avg_connect_v
1537,42037,3.1970040798187256
1538,420440,3.7626225948333736
1539,42062,2.8752543926239014
1540,42063,2.8106138706207275
1541,42064,3.5785000324249268
1542,420675,4.736653804779053
1545,42068,2.958812713623047
1546,4207,4.593088626861572
1548,421083,3.7940754890441895
1549,421130,2.91808819770813
1550,421131,2.936190128326416
1551,421209,3.0333466529846187
1552,421210,3.35239315032959
1553,421252,2.5729024410247803
1554,421259,4.995133876800537
1555,421479,3.0865211486816406
1556,421480,3.148180723190308
1557,421481,3.1549689769744877
1561,421548,4.385842800140382
1562,421549,4.748558044433594
1573,422259,2.458104133605957
1583,423635,4.619929313659668
1586,423831,2.7115802764892583
1600,424834,3.228529214859009
1601,424835,3.2796630859375
1602,424911,4.183432102203368
1604,42499,1.8629000186920168
1605,425059,3.52649998664856
1607,425113,2.9068698883056636
1608,425155,3.0033743381500244
1611,425207,4.877026557922363
1613,425643,3.85268235206604
1614,425657,2.797886371612549
1615,425658,3.8398363590240483
1616,425659,2.8735852241516118
1617,425660,3.8267204761505127
1618,425661,2.772493839263916
1619,425779,2.8109562397003174
1620,425780,2.831917524337769
1621,425864,2.8103795051574707
1622,425865,2.821323871612549
1623,425923,3.6026477813720703
1625,426103,3.2020421028137207
1627,426198,3.6295354366302486
1628,426199,4.560494422912598
1630,426263,2.8085813522338867
1634,426692,3.77302622795105
1635,426821,3.780489683151245
1638,42697,2.5542426109313965
1640,427077,3.3712000846862797
1642,427088,2.603600025177002
1643,427231,2.8227250576019287
1644,427232,2.8486940860748287
1645,427233,2.844710111618042
1646,427234,2.8263866901397705
1647,427235,2.830784559249878
1648,427287,3.3077640533447266
1656,427421,2.9532065391540527
1657,427426,4.954377174377441
1658,427432,2.7405314445495605
1668,428002,3.6796469688415527
1671,428102,4.611395359039307
1672,428106,4.810649871826172
1675,428177,4.302292346954347
1676,428547,4.933131694793701
1678,428737,3.16665267944336
1692,42890,4.849999904632568
1697,429404,3.046053409576416
1698,429405,3.0640316009521484
1699,429406,3.1293823719024663
